sample_offset,num_samples,watch_ts_ms
1223040,1920,1784743669251
1224960,1920,1784743669291
1226880,1920,1784743669331
1228800,1920,1784743669371
1230720,1920,1784743669411
1232640,1920,1784743669452
1234560,1920,1784743669491
1236480,1920,1784743669532
1238400,1920,1784743669571
1240320,1920,1784743669611
1242240,1920,1784743669651
1244160,1920,1784743669692
1246080,1920,1784743669732
1248000,1920,1784743669771
1249920,1920,1784743669813
1251840,1920,1784743669853
1253760,1920,1784743669892
1255680,1920,1784743669932
1257600,1920,1784743669973
1259520,1920,1784743670011
1261440,1920,1784743670050
1263360,1920,1784743670092
1265280,1920,1784743670131
1267200,1920,1784743670171
1269120,1920,1784743670212
1271040,1920,1784743670253
1272960,1920,1784743670291
1274880,1920,1784743670333
1276800,1920,1784743670375
1278720,1920,1784743670411
1280640,1920,1784743670452
1282560,1920,1784743670492
1284480,1920,1784743670533
1286400,1920,1784743670573
1288320,1920,1784743670612
1290240,1920,1784743670652
1292160,1920,1784743670692
1294080,1920,1784743670732
1296000,1920,1784743670771
1297920,1920,1784743670811
1299840,1920,1784743670851
1301760,1920,1784743670893
1303680,1920,1784743670931
1305600,1920,1784743670971
1307520,1920,1784743671012
1309440,1920,1784743671051
1311360,1920,1784743671092
1313280,1920,1784743671132
1315200,1920,1784743671171
1317120,1920,1784743671211
1319040,1920,1784743671251
1320960,1920,1784743671292
1322880,1920,1784743671332
1324800,1920,1784743671373
1326720,1920,1784743671412
1328640,1920,1784743671450
1330560,1920,1784743671489
1332480,1920,1784743671528
1334400,1920,1784743671569
1336320,1920,1784743671613
1338240,1920,1784743671650
1340160,1920,1784743671691
1342080,1920,1784743671731
1344000,1920,1784743671773
1345920,1920,1784743671812
1347840,1920,1784743671853
1349760,1920,1784743671891
1351680,1920,1784743671931
1353600,1920,1784743671972
1355520,1920,1784743672012
1357440,1920,1784743672052
1359360,1920,1784743672092
1361280,1920,1784743672131
1363200,1920,1784743672172
1365120,1920,1784743672212
1367040,1920,1784743672252
1368960,1920,1784743672293
1370880,1920,1784743672333
1372800,1920,1784743672373
1374720,1920,1784743672411
1376640,1920,1784743672450
1378560,1920,1784743672495
1380480,1920,1784743672532
1382400,1920,1784743672572
1384320,1920,1784743672611
1386240,1920,1784743672650
1388160,1920,1784743672691
1390080,1920,1784743672732
1392000,1920,1784743672773
1393920,1920,1784743672811
1395840,1920,1784743672851
1397760,1920,1784743672893
1399680,1920,1784743672932
1401600,1920,1784743672972
1403520,1920,1784743673012
1405440,1920,1784743673053
1407360,1920,1784743673092
1409280,1920,1784743673131
1411200,1920,1784743673170
1413120,1920,1784743673212
1415040,1920,1784743673251
1416960,1920,1784743673291
1418880,1920,1784743673332
1420800,1920,1784743673373
1422720,1920,1784743673411
1424640,1920,1784743673453
1426560,1920,1784743673491
1428480,1920,1784743673531
1430400,1920,1784743673571
1432320,1920,1784743673611
1434240,1920,1784743673651
1436160,1920,1784743673694
1438080,1920,1784743673731
1440000,189241,
